loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36,loc37,loc38,corrAns,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,instr1.started,instr1.stopped,keyResp1.keys,keyResp1.rt,keyResp1.started,keyResp1.stopped,l1ex.started,l1ex.stopped,l2ex.started,l2ex.stopped,t1ex.started,t1ex.stopped,tTex.started,tTex.stopped,trial1Fix.started,trial1Fix.stopped,trial1L11.started,trial1L11.stopped,trial1L12.started,trial1L12.stopped,trial1L21.started,trial1L21.stopped,trial1L22.started,trial1L22.stopped,trial1T11.started,trial1T11.stopped,trial1T12.started,trial1T12.stopped,trial1L13.started,trial1L13.stopped,trial1L14.started,trial1L14.stopped,trial1L23.started,trial1L23.stopped,trial1L24.started,trial1L24.stopped,trial1T13.started,trial1T13.stopped,trial1T14.started,trial1T14.stopped,trial1L15.started,trial1L15.stopped,trial1L16.started,trial1L16.stopped,trial1L25.started,trial1L25.stopped,trial1L26.started,trial1L26.stopped,trial1T15.started,trial1T15.stopped,trial1T16.started,trial1T16.stopped,trial1TT.started,trial1TT.stopped,trial1Resp.keys,trial1Resp.corr,trial1Resp.rt,trial1Resp.started,trial1Resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.250251199817285,None,space,1.2050349998753518,19.250251199817285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_Jun_10_1457,vSearchAlpha5,2020.1.3,60.03136031392433,
-0.2,-0.2,-0.4,0.4,-0.4,0.0,0.4,0.2,-0.4,-0.4,0.4,-0.2,0.4,0.4,0.2,0.4,0.0,0.2,0.2,0.0,0.2,-0.4,-0.2,0.4,0.0,-0.4,-0.2,0.2,0.2,0.2,-0.2,0.0,0.2,-0.2,0.4,-0.4,None,None,k,0,0,0,0,,,,,,,19.250251199817285,None,19.250251199817285,None,19.250251199817285,None,19.250251199817285,None,20.60748209990561,21.63477489980869,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,21.608861399814487,None,k,1,3.4143063998781145,21.608861399814487,None,a,001,2020_Jun_10_1457,vSearchAlpha5,2020.1.3,60.03136031392433,
0.4,0.0,-0.2,0.2,-0.4,0.0,-0.4,-0.2,0.4,0.2,0.0,0.2,-0.4,0.4,-0.4,0.2,-0.2,0.0,-0.2,-0.2,-0.2,-0.4,0.0,-0.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,k,0,1,1,1,,,,,,,,,,,,,,,25.06660689995624,26.06828789995052,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,26.0506629999727,None,s,0,0.2926326000597328,26.0506629999727,None,a,001,2020_Jun_10_1457,vSearchAlpha5,2020.1.3,60.03136031392433,
